# service_name, package_name, daemon_name (as recognized by chkconfig / systemd. To be used when daemon_name differs from service_name)
abrtd,abrt,
acpid,,
autofs,autofs,
certmonger,,
cgred,,
atd,at,
avahi-daemon,,
bluetooth,bluez,
cgconfig,libcgroup,
cpuspeed,cpuspeed,
cups,cups,
dhcpd,dhcp,
dovecot,dovecot,
haldaemon,hal,
httpd,httpd,
kdump,kexec-tools,
mdmonitor,mdadm,
messagebus,dbus,
named,bind,
netconsole,,
netfs,,
nfs,nfs-utils,
nfslock,nfs-utils,
ntpdate,ntpdate,
oddjobd,oddjob,
portreserve,portreserve,
qpidd,qpid-cpp-server,
quota_nld,quota,
rdisc,iputils,
rhnsd,rhnsd,
rhsmcertd,subscription-manager,
rpcbind,rpcbind,
rpcgssd,nfs-utils,
rpcidmapd,nfs-utils,
rpcsvcgssd,nfs-utils,
saslauthd,cyrus-sasl,
smartd,smartmontools,
smb,,
snmpd,net-snmp,
squid,squid,
sshd,openssh-server,
sysstat,sysstat,
tftp,tftp-server,
vsftpd,vsftpd,
xinetd,xinetd,
ypbind,ypbind,
